RowID,Date Marked Complete,UDOT Region,Person Working Title,UDOT Unit,Construction Site Stormwater Runoff Control,Long-Term Stormwater Management,Pollution Prevention and Good Housekeeping,Stormwater Pollution Prevention and IDDE,Progress,Stormwater Pollution Prevention and IDDE-,Long-Term Stormwater Management-,Pollution Prevention and Good Housekeeping-,Construction Site Stormwater Runoff Control-
3101004,06/29/2018 12:00:00 AM,Region 3,Program Engineer,3209 - R3 Right Of Way Team,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5719950,08/20/2018 12:00:00 AM,Region 1,Transportation Technician I,1422 - Ogden,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4673835,07/18/2018 12:00:00 AM,Region 4,Transportation Technician III,4480 - Milford,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5371839,07/03/2018 12:00:00 AM,Complex,Engineering Manager I,8261 - Structures Administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5411475,07/10/2018 12:00:00 AM,Complex,Journey Auto Worker,8742 - Richfield Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3090312,07/03/2018 12:00:00 AM,Region 3,Materials Engineering Assistant,3266 - R3 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4929660,07/06/2018 12:00:00 AM,Complex,Director,8293 - Programng/Public Transit,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5050431,07/03/2018 12:00:00 AM,Complex,Gis Analyst,8213 - data and analytics,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4495149,07/05/2018 12:00:00 AM,Complex,Motor Carrier Investigator,8160 - Motor Carriers,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5173767,07/26/2018 12:00:00 AM,Region 4,Transportation Technician III - Maintenance,4476 - Cedar City,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5277177,07/11/2018 12:00:00 AM,Region 3,Transportation Technician II,3427 - R3 Orem,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3298968,07/03/2018 12:00:00 AM,Region 1,Udot District Engineer,1100 - R1 Administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5592024,07/02/2018 12:00:00 AM,Region 4,Transportation Technician II,4454 - Thompson,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3102273,07/23/2018 12:00:00 AM,Region 4,Electronic Technical Specialist II,4411 - Maintenance Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4913217,07/02/2018 12:00:00 AM,Region 3,Survey Technician IV,3207 - R3 Location Team,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3173553,07/16/2018 12:00:00 AM,Region 1,Transportation Technician III,1433 - Riverside,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4431024,07/02/2018 12:00:00 AM,Region 4,Transportation Technician III,4481 - Cove Fort,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2895426,08/29/2018 12:00:00 AM,Region 3,Claims Adjuster,3411 - R3 Maint Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5024781,08/15/2018 12:00:00 AM,Region 2,Office Specialist II,2411 - Region 2 Maint Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5475249,07/31/2018 12:00:00 AM,Region 2,Trans Tech II (Job Series Tt3),2425 - Salt Lake City East,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4955202,07/10/2018 12:00:00 AM,Region 1,Project Manager,1250 - Project Manager,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4421898,06/29/2018 12:00:00 AM,Region 4,Transportation Technician I,4459 - Wellington,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5076729,07/19/2018 12:00:00 AM,Region 2,Transportation Technician III,2757 - R2 Crew 7,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5478651,07/04/2018 12:00:00 AM,Region 2,Transportation Technician I,2432 - Murray,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4393629,07/03/2018 12:00:00 AM,Complex,Materials Lab Technician III,8273 - Concrete/Aggregate Materials,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4735665,07/02/2018 12:00:00 AM,Region 4,Station Supervisor,4457 - Emery,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5487453,08/22/2018 12:00:00 AM,Region 1,Transportation Technician II,1424 - Clearfield,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4589460,07/05/2018 12:00:00 AM,Complex,Equipment Specialist,8757 - Central Shops Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3149847,07/03/2018 12:00:00 AM,Region 1,Maintenance Area Supervisor,1411 - Region 1 Maint Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5720949,07/02/2018 12:00:00 AM,Region 3,Transportation Technician I,3436 - Manila,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4668786,07/09/2018 12:00:00 AM,Complex,Contract Administrator,8284 - Consultant Svcs,0,0,1,1,0.25,Successful,Not Assigned,Successful,Not Assigned
3245940,08/13/2018 12:00:00 AM,Complex,Statewide Permits Officer,8226 - ROW Utilities/Permits,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5369760,07/10/2018 12:00:00 AM,Region 2,Transportation Technician I,2425 - Salt Lake City East,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2973375,07/01/2018 12:00:00 AM,Region 2,Transportation Technician III,2422 - Grantsville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5566239,07/05/2018 12:00:00 AM,Region 2,Transportation Technician II,2432 - Murray,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5527629,09/04/2018 12:00:00 AM,Region 2,Accounting Technician III,2100 - R2 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5007177,07/25/2018 12:00:00 AM,Region 3,Transportation Technician III,3443 - Paint Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4005531,07/03/2018 12:00:00 AM,Region 2,Station Supervisor,2433 - Cottonwood,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3983148,08/01/2018 12:00:00 AM,Complex,Port Of Entry Inspector,8149 - POE Peerless,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3115476,07/06/2018 12:00:00 AM,Complex,Port Of Entry Inspector,8142 - POE Perry,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4578822,08/14/2018 12:00:00 AM,Region 4,Transportation Technician II,4456 - Huntington,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4311927,07/02/2018 12:00:00 AM,Complex,Region Stormwater Program Coordinator,8307 - Maintenance Planning,1,1,0,1,0.375,Successful,Successful,Not Assigned,Successful
3985551,07/03/2018 12:00:00 AM,Region 4,Transportation Technician I,4469 - Panguitch,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4593132,06/29/2018 12:00:00 AM,Region 2,Construction Technician IV (Office),2755 - r2 crew 5,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5414499,07/31/2018 12:00:00 AM,Region 4,Transportation Technician II,4459 - Wellington,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5783859,08/05/2018 12:00:00 AM,Region 2,Transportation Technician I,2431 - West Jordan,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3150252,07/02/2018 12:00:00 AM,Region 1,Engineering Manager I,1411 - Region 1 Maint Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3167100,08/07/2018 12:00:00 AM,Region 2,Construction Technician IV (Office),2751 - R2 Crew 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5081616,07/16/2018 12:00:00 AM,Region 4,Transportation Technician II,4450 - Bluff,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5357718,07/09/2018 12:00:00 AM,Region 4,Transportation Technician II,4483 - Delta,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3142584,07/03/2018 12:00:00 AM,Complex,Engineering Manager III - Admin.Udot,8307 - Maintenance Planning,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4467771,07/05/2018 12:00:00 AM,Complex,Motor Carrier Investigator,8160 - Motor Carriers,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5011335,07/03/2018 12:00:00 AM,Region 2,Materials Engineering Assistant,2266 - R2 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3544155,07/02/2018 12:00:00 AM,Complex,Equipment Shop Supervisor,8731 - Region 3 Shops,0,0,1,1,0.25,Successful,Not Assigned,Successful,Not Assigned
3086586,08/01/2018 12:00:00 AM,Region 4,Station Supervisor,4486 - P Sign/Paint Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2812293,08/01/2018 12:00:00 AM,Complex,Electronics Technical Manager,8382 - tmd system maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5323374,07/02/2018 12:00:00 AM,Complex,Engineer III,8405 - SW Alternative Delivery Projects,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4371543,08/02/2018 12:00:00 AM,Complex,Accounting Technician III,8757 - Central Shops Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5281281,09/07/2018 12:00:00 AM,Region 2,Avalanche Forecaster,2449 - Avalanche Forecasting,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5045571,07/03/2018 12:00:00 AM,Complex,Nepa Specialist,8217 - Environmental,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2885625,08/03/2018 12:00:00 AM,Region 2,Construction Technician IV (Office),2759 - R2 Crew 9,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2932686,07/03/2018 12:00:00 AM,Region 4,Safety Loss/Incident Manager,4155 - R4 Operations,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3127491,07/11/2018 12:00:00 AM,Region 1,Construction Technician IV (Office),1752 - Wellsville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4050864,08/07/2018 12:00:00 AM,Region 2,Electronic Technical Specialist II,2161 - Reg 2 Signals,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5685444,07/09/2018 12:00:00 AM,Region 4,Transportation Technician I,4462 - Gunnison,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5410746,07/09/2018 12:00:00 AM,Region 4,Transportation Technician II,4487 - C Sign/Paint Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3856302,07/30/2018 12:00:00 AM,Region 1,Construction Materials Lab Technician,1751 - South Willard,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5736339,07/26/2018 12:00:00 AM,Region 4,Transportation Technician I,4464 - Richfield,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5096547,07/03/2018 12:00:00 AM,Complex,Electronics Supervisor,8387 - tmd express lane maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5478435,07/02/2018 12:00:00 AM,Region 1,Engineer II,1207 - Design Crew 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2995974,07/17/2018 12:00:00 AM,Region 2,Station Supervisor,2434 - Parleys,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5286897,08/31/2018 12:00:00 AM,Complex,Director Quality And Process Improvement,8116 - Procurement,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4633794,07/09/2018 12:00:00 AM,Region 3,Region Right Of Way Control Coordinator,3150 - R3 Traffic & Permits,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4881519,09/08/2018 12:00:00 AM,Region 4,Engineering Manager I,4761 - R4 Crew 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3158919,07/11/2018 12:00:00 AM,Region 3,Engineering Tech IV - Lead Level Inspection,3753 - R3 South Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5228010,07/02/2018 12:00:00 AM,Region 4,Transportation Technician II,4481 - Cove Fort,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5398056,07/12/2018 12:00:00 AM,Region 2,Transportation Technician I,2425 - Salt Lake City East,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2931876,08/02/2018 12:00:00 AM,Region 4,Station Supervisor,4475 - Beryl,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5185809,07/03/2018 12:00:00 AM,Region 4,Transportation Technician II,4481 - Cove Fort,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3243348,07/11/2018 12:00:00 AM,Region 3,Transportation Technician II,3423 - Lehi,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3617190,07/03/2018 12:00:00 AM,Complex,Director,8140 - POE Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5731722,08/06/2018 12:00:00 AM,Complex,Motor Carrier Investigator,8160 - Motor Carriers,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3300561,07/02/2018 12:00:00 AM,Region 1,Station Supervisor,1437 - Laketown,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3095982,07/18/2018 12:00:00 AM,Region 1,Transportation Technician I,1437 - Laketown,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3645918,08/29/2018 12:00:00 AM,Complex,Journey Auto Worker,8746 - Cedar City Dist Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5473710,07/12/2018 12:00:00 AM,Complex,Executive Assistant,8111 - Support Services,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4917132,07/01/2018 12:00:00 AM,Complex,Row Design Program Manager,8281 - Central Precon Admin,0,1,1,1,0.375,Successful,Successful,Successful,Not Assigned
3100032,07/30/2018 12:00:00 AM,Complex,Program Engineer,8941 - AERO Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3892590,07/02/2018 12:00:00 AM,Region 2,Materials Lab Technician III,2266 - R2 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5368977,07/06/2018 12:00:00 AM,Region 2,Transportation Technician I,2435 - Silver Summit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4696002,07/02/2018 12:00:00 AM,Region 4,Construction Transportation Technician III,4765 - R4 Crew 5,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3978612,07/02/2018 12:00:00 AM,Region 4,Engineering Manager II,4250 - Project Manager,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5175576,07/16/2018 12:00:00 AM,Complex,Road Weather Information Systems Manager,8385 - tmd weather operations,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4564377,08/10/2018 12:00:00 AM,Region 3,District Permits Officer I,3150 - R3 Traffic & Permits,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4662738,07/17/2018 12:00:00 AM,Region 2,Transportation Technician III,2427 - Draper,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3347325,07/06/2018 12:00:00 AM,Region 3,Engineering Manager II,3250 - R3 Project Management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5424246,08/13/2018 12:00:00 AM,Region 2,Transportation Technician I,2434 - Parleys,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4001940,07/05/2018 12:00:00 AM,Complex,Engineering Manager II,8205 - Contract Construction,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2922750,08/02/2018 12:00:00 AM,Complex,Engineering Manager I,8389 - tmd transportation technology,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3088962,07/16/2018 12:00:00 AM,Region 2,Engineering Tech IV - Lead Level Inspection,2753 - R2 Crew 3,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4087557,07/13/2018 12:00:00 AM,Complex,Region Stormwater Program Coordinator,8307 - Maintenance Planning,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4119282,08/06/2018 12:00:00 AM,Region 3,Maintenance Analyst,3411 - R3 Maint Admin,0,1,1,1,0.375,Successful,Successful,Successful,Not Assigned
5593023,07/02/2018 12:00:00 AM,Region 2,Transportation Technician I,2425 - Salt Lake City East,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4273722,07/06/2018 12:00:00 AM,Complex,Accounting Technician III,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4604688,07/02/2018 12:00:00 AM,Complex,Materials Engineering Assistant,8275 - Materials Research/Implementation,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3143421,07/02/2018 12:00:00 AM,Region 2,Design Technician IV,2207 - Design Team 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4936923,07/25/2018 12:00:00 AM,Region 2,Transportation Technician III,2425 - Salt Lake City East,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4428459,07/19/2018 12:00:00 AM,Region 4,Electronic Technical Specialist II,4411 - Maintenance Admin,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5255685,07/03/2018 12:00:00 AM,Region 2,Research Consultant II,2157 - Traffic Sec,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5307336,07/05/2018 12:00:00 AM,Complex,Port Of Entry Supervisor,8142 - POE Perry,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5714307,07/12/2018 12:00:00 AM,Region 2,Transportation Technician I,2432 - Murray,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5297373,07/03/2018 12:00:00 AM,Region 4,Engineer III,4206 - Preconstruction Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5779458,07/31/2018 12:00:00 AM,Region 2,Transportation Technician I,2424 - Salt Lake City West,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4847904,07/11/2018 12:00:00 AM,Region 3,Transportation Technician II,3421 - Eureka,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5477652,07/12/2018 12:00:00 AM,Complex,Journey Auto Worker,8744 - Price Dist Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2915595,07/02/2018 12:00:00 AM,Complex,Engineering Manager I,8296 - Geotech Design Unit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5509296,08/16/2018 12:00:00 AM,Region 4,Transportation Technician II,4468 - Junction,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3037014,07/31/2018 12:00:00 AM,Region 2,Research Consultant I,2215 - ROW/Survey,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5393763,07/13/2018 12:00:00 AM,Region 2,Transportation Technician II,2424 - Salt Lake City West,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5116068,08/02/2018 12:00:00 AM,Region 2,Engineering Manager I,2208 - Design Team 2,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2910222,07/05/2018 12:00:00 AM,Complex,Financial Manager II,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5167476,07/25/2018 12:00:00 AM,Region 4,Transportation Technician II,4476 - Cedar City,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3344760,06/30/2018 12:00:00 AM,Complex,Station Supervisor - Imt,8391 - imt administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4958253,07/03/2018 12:00:00 AM,Complex,Electronic Technical Specialist II,8382 - tmd system maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5464827,07/16/2018 12:00:00 AM,Complex,Port Of Entry Agent III,8142 - POE Perry,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5632227,07/02/2018 12:00:00 AM,Region 4,Transportation Technician I,4461 - Mt Pleasant,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4557357,07/02/2018 12:00:00 AM,Region 3,Transportation Technician II,3425 - Provo Canyon,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4282416,07/23/2018 12:00:00 AM,Complex,Motor Carrier Operations Manager,8140 - POE Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3919644,08/01/2018 12:00:00 AM,Region 2,Region Right Of Way Control Coordinator,2215 - ROW/Survey,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4430376,07/05/2018 12:00:00 AM,Complex,Port Of Entry Inspector,8146 - POE Daniels,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2888892,07/05/2018 12:00:00 AM,Region 4,Area Engineer,4411 - Maintenance Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5404941,07/05/2018 12:00:00 AM,Complex,Design Team Leader,8263 - Structures Bridge Management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5415984,07/02/2018 12:00:00 AM,Region 2,Transportation Technician III - Materials,2266 - R2 Materials Lab Admin,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5706882,08/02/2018 12:00:00 AM,Region 4,Transportation Technician I,4463 - Salina,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3672567,07/06/2018 12:00:00 AM,Region 4,Roadway Design Engineer,4209 - ROW Unit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5581359,07/06/2018 12:00:00 AM,Region 2,District Permits Officer I,2159 - Permits / Encro,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3096765,07/03/2018 12:00:00 AM,Complex,Port Of Entry Supervisor,8145 - POE St George,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2781594,07/03/2018 12:00:00 AM,Region 2,Station Supervisor,2445 - Landscape/Training,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3850065,07/05/2018 12:00:00 AM,Region 4,Project Manager,4250 - Project Manager,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3603258,07/02/2018 12:00:00 AM,Region 4,Design Technician IV,4209 - ROW Unit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4876092,07/08/2018 12:00:00 AM,Complex,Engineering Manager III - Admin.Udot,8261 - Structures Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3207330,07/05/2018 12:00:00 AM,Complex,Financial Analyst III,8130 - Comptroller,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4000239,07/05/2018 12:00:00 AM,Region 1,Resident Engineer,1752 - Wellsville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5477976,07/03/2018 12:00:00 AM,Complex,Standards Communication Coordinator,8282 - Standards & Design,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2925774,07/09/2018 12:00:00 AM,Region 4,Station Supervisor,4451 - Blanding,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3522555,07/03/2018 12:00:00 AM,Complex,Project Manager,8386 - tmd its program management,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4731966,07/06/2018 12:00:00 AM,Complex,Electronics Supervisor,8382 - tmd system maintenance,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2918349,07/02/2018 12:00:00 AM,Region 2,Station Supervisor,2437 - Kamas,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4802733,09/10/2018 12:00:00 AM,Complex,Program Manager,8223 - ROW Team 2,0,1,1,1,0.375,Successful,Successful,Successful,Not Assigned
3712878,07/12/2018 12:00:00 AM,Complex,Electronic Technical Specialist II,8384 - tmd signal operations,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3303639,07/16/2018 12:00:00 AM,Region 2,Construction Technician IV (Office),2756 - R2 Crew 6,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3144366,08/06/2018 12:00:00 AM,Region 2,Region Director's Assistant,2100 - R2 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3076704,07/16/2018 12:00:00 AM,Region 4,Station Supervisor,4484 - Scipio,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4634469,07/31/2018 12:00:00 AM,Complex,Office Specialist II,8111 - Support Services,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5756562,07/03/2018 12:00:00 AM,Region 4,Transportation Technician I,4472 - Kanab,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5783589,08/07/2018 12:00:00 AM,Region 1,Transportation Technician I,1443 - Paint & Signs,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4816854,07/03/2018 12:00:00 AM,Region 2,Transportation Technician III,2431 - West Jordan,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5378346,07/09/2018 12:00:00 AM,Complex,Journey Auto Worker,8746 - Cedar City Dist Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
2948346,07/03/2018 12:00:00 AM,Complex,Port Of Entry Supervisor,8149 - POE Peerless,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
3124440,07/20/2018 12:00:00 AM,Region 3,Engineering Tech IV - Lead Level Inspection,3751 - R3 East Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5735259,07/03/2018 12:00:00 AM,Complex,Journey Auto Worker,8744 - Price Dist Shops,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4727295,07/03/2018 12:00:00 AM,Region 1,Transportation Technician III,1431 - Snowville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4981257,07/16/2018 12:00:00 AM,Region 1,Transportation Technician III,1423 - Brigham City,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5580468,07/02/2018 12:00:00 AM,Region 2,Trans Tech II (Job Series Tt3),2430 - Salt Lake City Central,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2859840,08/15/2018 12:00:00 AM,Region 2,Financial Analyst II,2100 - R2 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
4539969,07/11/2018 12:00:00 AM,Complex,Equipment Shop Supervisor,8746 - Cedar City Dist Shops,0,0,1,1,0.25,Successful,Not Assigned,Successful,Not Assigned
3170421,07/09/2018 12:00:00 AM,Region 4,Station Supervisor,4485 - R Sign/Paint Crew,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5369058,07/12/2018 12:00:00 AM,Complex,Incident Management Specialist,8391 - imt administration,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3116934,08/06/2018 12:00:00 AM,Region 2,Construction Materials Lab Technician,2751 - R2 Crew 1,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3162159,07/05/2018 12:00:00 AM,Region 2,Contract/Grant Analyst II,2100 - R2 Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5281227,07/05/2018 12:00:00 AM,Region 2,Avalanche Forecaster,2449 - Avalanche Forecasting,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5166801,07/20/2018 12:00:00 AM,Region 2,Resident Engineer,2753 - R2 Crew 3,1,1,1,1,0.5,Successful,Successful,Successful,Successful
4579578,07/02/2018 12:00:00 AM,Complex,Local Government Programs Engineer,8293 - Programng/Public Transit,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3100221,07/19/2018 12:00:00 AM,Complex,Motor Carrier Operations Manager,8140 - POE Administration,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
5131755,07/05/2018 12:00:00 AM,Region 1,Field Engineer,1752 - Wellsville,1,1,1,1,0.5,Successful,Successful,Successful,Successful
2875851,08/03/2018 12:00:00 AM,Region 4,Project Manager,4250 - Project Manager,1,1,1,1,0.5,Successful,Successful,Successful,Successful
5487426,08/12/2018 12:00:00 AM,Region 2,Construction Technician IV (Office),2758 - R2 Crew 8,1,1,1,1,0.5,Successful,Successful,Successful,Successful
3273993,07/03/2018 12:00:00 AM,Region 2,Research Consultant II,2215 - ROW/Survey,0,0,0,1,0.125,Successful,Not Assigned,Not Assigned,Not Assigned
